teamid,uploads_last_7_days,uploads_last_14_days,uploads_last_30_days,uploads_last_60_days,uploads_last_90_days,uploads_last_365_days,users_watching_video_last_7_days,users_watching_video_last_14_days,users_watching_video_last_30_days,users_watching_video_last_60_days,users_watching_video_last_90_days,users_watching_video_last_365_days
044b62be51b057ad2a190f367a6fffbe,2,4,7,14,19,19,1,2,3,8,9,9
044e04d29a6a8635c98aa8fc513dba3e,3,5,11,24,24,43,6,7,7,12,12,17
0451309de29be4a4768f142d3d26b506,0,0,1,1,1,1,0,0,0,1,1,3
0452f39f947e686e8276a0c81c6e58b0,3,4,12,21,21,21,0,2,2,2,2,2
04541834e57a7d26dd5c58a59977600e,0,0,0,1,1,1,0,0,0,1,1,1
0457a3c528a2de32fc48c993b21fe831,0,0,0,7,13,16,2,2,3,9,15,19
045bfd67e6948afbfff9e8380fc27733,1,3,9,13,13,29,4,9,9,11,12,16
0460b00dd16205b97ec5052b4a3c2f11,5,9,18,35,35,53,3,6,7,13,13,17
047d53c90b6006d8c6236b62d0fc4b58,7,7,18,36,40,49,7,8,11,21,23,30
04841f0e0ac9cf67432d01a613347871,0,0,0,0,0,2,0,0,0,2,5,7
04995e83455d87e2bf9a075818724935,0,3,8,8,9,9,3,5,5,6,7,7
049c198191ec7976ea4dadb27650c599,0,2,2,9,12,13,5,5,6,9,9,9
04a009f72933b47f3a9eb2c5aefbb537,0,0,0,1,1,4,0,0,0,1,1,8
04a4c9f670dd1e631d7f51ba246d0acb,3,5,9,37,37,37,6,10,10,16,16,18
04a816d36989f7ed276f4ddcbda8b17b,5,8,13,32,40,43,6,6,8,21,25,27
04c24877aaa762f2e97f0aaf70d1839a,3,6,13,20,20,20,4,7,7,15,15,15
04cf28204d1e1c06736e3920e6105dfd,0,0,0,0,0,0,0,0,0,0,0,2
04db65dc3410ab1368ff6f65b2941d5f,12,20,35,63,74,87,3,7,10,13,13,16
04dfa78991b5140d09df3164008cd690,3,5,18,28,28,37,7,8,9,15,16,19
04e34d624fd3739742abe49a2b641c80,3,11,17,32,32,44,5,6,7,12,14,17
04e3c9788085f8972b7074019b41955e,1,5,13,19,21,23,6,10,11,14,19,24
04e97288e254426d2829699c53bee14a,4,6,6,9,9,9,4,7,7,13,14,14
04ebb75dd9d5f00ff2b33ea19f8b4453,2,3,6,10,10,22,2,4,5,10,10,15
050b8cbe360fb66fe566aae25cd800df,11,23,42,75,83,96,4,7,10,23,23,28
051820300fd29f805a12880abd0ac596,0,0,0,0,0,0,0,0,1,2,2,3
0518a863e95235c40e9dd2b18bf259fc,2,4,7,16,18,18,4,6,7,8,8,8
05316875987eb5067affdc66363bd7d5,0,0,0,0,0,0,0,0,0,0,0,1
053b2108e3f9c0adf2a8edf682075323,2,5,7,10,10,10,2,6,7,7,7,7
053f2a257e9c1e763448af786f835351,4,13,21,30,30,62,2,5,7,8,10,19
0540a8a26a61b674636473dacc1237fd,1,3,7,12,12,20,2,3,5,8,8,13
05418f309486bdb413ee03c328b1c053,3,9,17,32,35,54,3,5,7,10,13,16
0553b7a48e5266d07c52b88b2d337dac,0,3,3,4,4,4,0,0,0,0,1,1
0557f6df3b9311a33eaa942c0f73c0a0,4,7,28,47,53,66,1,1,1,8,10,10
0558a5f444316a8fe7e097432565138d,3,3,5,11,11,16,2,2,3,12,13,17
0561907e964a678239bd8c0031b77c55,3,7,11,30,37,43,6,6,7,11,11,14
0561ac4c4e3700fbb74285af1c1600db,2,15,18,33,47,47,4,5,5,13,16,16
0562d2f74b358cf414e4a1e828d5a08a,7,12,20,35,41,56,5,5,6,8,11,13
058030c5141fbd38886c938b359d0f3a,0,3,3,3,3,6,0,0,1,1,1,1
05808a171f6fbb8e07e7b512d9db7fa7,2,4,18,42,56,65,8,8,11,14,14,18
0587575a22eb4dd8b5e898da6446e3d9,2,3,14,19,19,20,2,2,4,7,7,7
058a8a31c43e120ebc4a1fee9f5ab9ea,3,4,10,13,13,13,2,3,6,6,6,6
058e498a48b89d27100ec3d24dcbb3a2,4,9,19,38,38,38,3,5,6,12,12,12
059305264446cbcb3000964e811c8309,0,0,0,8,8,8,0,0,1,4,4,4
059345f4294b37894757682c44dabc17,4,6,12,26,31,36,2,3,8,13,15,23
0599c7b9945a57c4bd004919f132bd1e,5,13,46,71,100,162,4,4,4,6,9,14
05c2b763ef270be977f5097b1b831957,3,7,9,14,14,14,5,7,8,13,13,13
05d5391c522380ebb132a8079a6a2930,3,9,26,42,42,50,4,5,5,11,13,23
05d6e5dd87b1d6f9c9ac8ffab8b099f4,1,1,2,8,10,10,2,2,4,12,14,18
05e08981fd79e02e0ddc27b92de40cc1,8,15,24,48,54,56,9,10,13,21,22,26
05e8ca51658ed8f84d748f9eb3484e8e,2,5,9,35,43,48,6,8,8,13,15,19
05eac6603c2c8b0d133d6417ad1b97a6,9,16,33,52,52,95,6,7,12,23,23,28
05f12a7f2217e526f1463cb383ead06c,2,3,6,9,9,9,2,2,4,18,18,19
05f1f712d73208fc7a5fe7e9396e51d6,4,5,10,20,22,33,3,5,7,12,13,20
0600f3ebd2192aff9d18b518cc8a91d8,0,0,0,0,0,0,0,0,0,2,2,2
0603185b49913ebf424b67385242a1cd,4,4,4,5,5,5,1,1,1,7,10,10
063dbc95019fedd40d538992761d185c,1,2,3,12,12,18,4,5,7,13,15,29
06485114b046c85b261bfb84d6c1645d,4,8,15,30,33,33,5,6,10,16,18,18
064d332aeee88f17b1e8c4e526c2da17,1,3,6,12,12,20,7,9,10,15,15,17
06520e99f648ab9a0674a56c4426fc32,2,7,13,23,23,23,1,2,5,13,13,13
065940d7612634b4e81f593f6ce19418,2,6,22,42,53,57,3,5,7,9,12,14
06598d880a02fceab1747e5d48821ad8,10,14,33,60,65,92,10,14,16,22,22,23
065f6a940b725d090e8388156c47816e,0,0,0,0,0,5,0,0,0,1,2,14
0665e5e39f3a1d114563def347448c0c,3,5,12,22,22,34,6,6,7,8,8,12
068266becc0e35c42a9b6433d5336c64,2,3,7,15,15,21,0,0,0,3,3,5
